PersonType,NameStyle,Title,FirstName,MiddleName,LastName,AverageRate,MaximumRate,DiffFromAvgRate,PercentofMaxRate,Rate
EM,0,NULL,Kendall,C,Keil,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Bob,N,Hohman,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Pete,C,Male,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Diane,H,Tibbott,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,John,T,Campbell,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Maciej,W,Dusza,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Michael,J,Zwilling,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Randy,T,Reeves,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Karan,R,Khanna,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Jay,G,Adams,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Charles,B,Fitzgerald,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Steve,F,Masters,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,David,J,Ortiz,"17,7588","125,50","-5,3088","0,0992","12,45"
EM,0,NULL,Michael,Sean,Ray,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Steven,T,Selikoff,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Carole,M,Poland,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Bjorn,M,Rettig,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Michiko,F,Osada,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Carol,M,Philips,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Merav,A,Netz,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Reuben,H,D'sa,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Eric,L,Brown,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Sandeep,P,Kaliyath,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Mihail,U,Frintu,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Jack,T,Creasey,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Patrick,M,Cook,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Frank,R,Martinez,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Brian,Richard,Goldstein,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Ryan,L,Cornelsen,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Cristian,K,Petculescu,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Betsy,A,Stadick,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Patrick,C,Wedge,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Danielle,C,Tiedt,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Kimberly,B,Zimmerman,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Tom,M,Vande Velde,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Kok-Ho,T,Loh,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Russell,NULL,Hunter,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Jim,H,Scardelis,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Elizabeth,I,Keyser,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Mandar,H,Samant,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Sameer,A,Tejani,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Nuan,NULL,Yu,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Lolan,B,Song,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Houman,N,Pournasseh,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Zheng,W,Mu,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Ebru,N,Ersan,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Mary,R,Baker,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Kevin,M,Homer,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,John,T,Kane,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Christopher,E,Hill,"17,7588","125,50","-4,3088","0,1071","13,45"
EM,0,NULL,Jinghao,K,Liu,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Alice,O,Ciccu,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Jun,T,Cao,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Suroor,R,Fatima,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,John,P,Evans,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Linda,K,Moschell,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Mindaugas,J,Krapauskas,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Angela,W,Barbariol,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Michael,W,Patten,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Chad,W,Niswonger,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Don,L,Hall,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Michael,T,Entin,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Kitti,H,Lertpiriyasuwat,"17,7588","125,50","-6,7588","0,0876","11,00"
EM,0,NULL,Pilar,G,Ackerman,"17,7588","125,50","1,472","0,1532","19,2308"
EM,0,NULL,Susan,W,Eaton,"17,7588","125,50","-8,7588","0,0717","9,00"
EM,0,NULL,Vamsi,N,Kuppa,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Kim,T,Ralls,"17,7588","125,50","-8,7588","0,0717","9,00"
EM,0,NULL,Matthias,T,Berndt,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Jimmy,T,Bischoff,"17,7588","125,50","-8,7588","0,0717","9,00"
EM,0,NULL,David,P,Hamilton,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Paul,B,Komosinski,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Gary,W,Yukish,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Rob,T,Caron,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Baris,F,Cetinok,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Nicole,B,Holliday,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Michael,L,Rothkugel,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Eric,NULL,Gubbels,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Ivo,William,Salmre,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Sylvester,A,Valdez,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Anibal,T,Sousa,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Samantha,H,Smith,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,Mr.,Hung-Fu,T,Ting,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Prasanna,E,Samarawickrama,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Min,G,Su,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Olinda,C,Turner,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Krishna,NULL,Sunkammurali,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Paul,R,Singh,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Cynthia,S,Randall,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Jian Shuo,NULL,Wang,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Sandra,NULL,Reátegui Alayo,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Jason,M,Watters,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Andy,M,Ruth,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Michael,T,Vanderhyde,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Rostislav,E,Shabalin,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Yuhong,L,Li,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Hanying,P,Feng,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Raymond,K,Sam,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Fadi,K,Fakhouri,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Lane,M,Sacksteder,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Linda,A,Randall,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Shelley,N,Dyck,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Terrence,W,Earls,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Jeff,V,Hay,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Kirk,J,Koenigsbauer,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Laura,C,Steele,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Alex,M,Nayberg,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Andrew,M,Cencini,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Chris,T,Preston,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Jack,S,Richins,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,David,N,Johnson,"17,7588","125,50","-11,2588","0,0517","6,50"
EM,0,NULL,David,N,Johnson,"17,7588","125,50","-10,5088","0,0577","7,25"
EM,0,NULL,David,N,Johnson,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Garrett,R,Young,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Susan,A,Metters,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,George,Z,Li,"17,7588","125,50","-11,2588","0,0517","6,50"
EM,0,NULL,George,Z,Li,"17,7588","125,50","-10,5088","0,0577","7,25"
EM,0,NULL,George,Z,Li,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,David,A,Yalovsky,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Marc,J,Ingle,"17,7588","125,50","-11,2588","0,0517","6,50"
EM,0,NULL,Marc,J,Ingle,"17,7588","125,50","-10,5088","0,0577","7,25"
EM,0,NULL,Marc,J,Ingle,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Eugene,R,Zabokritski,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Benjamin,R,Martin,"17,7588","125,50","-11,0088","0,0537","6,75"
EM,0,NULL,Benjamin,R,Martin,"17,7588","125,50","-10,5088","0,0577","7,25"
EM,0,NULL,Benjamin,R,Martin,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Reed,T,Koch,"17,7588","125,50","-11,2588","0,0517","6,50"
EM,0,NULL,Reed,T,Koch,"17,7588","125,50","-10,5088","0,0577","7,25"
EM,0,NULL,Reed,T,Koch,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,David,Oliver,Lawrence,"17,7588","125,50","-11,2588","0,0517","6,50"
EM,0,NULL,David,Oliver,Lawrence,"17,7588","125,50","-10,5088","0,0577","7,25"
EM,0,NULL,David,Oliver,Lawrence,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Russell,M,King,"17,7588","125,50","-11,2588","0,0517","6,50"
EM,0,NULL,Russell,M,King,"17,7588","125,50","-10,5088","0,0577","7,25"
EM,0,NULL,Russell,M,King,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,John,N,Frum,"17,7588","125,50","-11,2588","0,0517","6,50"
EM,0,NULL,John,N,Frum,"17,7588","125,50","-10,7588","0,0557","7,00"
EM,0,NULL,John,N,Frum,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Jan,S,Miksovsky,"17,7588","125,50","-8,2588","0,0756","9,50"
EM,0,NULL,Katie,L,McAskill-White,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Michael,T,Hines,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Nitin,S,Mirchandani,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Barbara,S,Decker,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,John,Y,Chen,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Stefen,A,Hesse,"17,7588","125,50","-3,7588","0,1115","14,00"
EM,0,NULL,Shane,S,Kim,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Yvonne,S,McKay,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Douglas,B,Hite,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Janeth,M,Esteves,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Robert,J,Rounthwaite,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Lionel,C,Penuchot,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Brenda,M,Diaz,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Alejandro,E,McGuel,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Fred,T,Northup,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Kevin,H,Liu,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Shammi,G,Mohamed,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Rajesh,M,Patel,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Lorraine,O,Nay,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Paula,R,Nartker,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Frank,T,Lee,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Brian,T,Lloyd,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Tawana,G,Nusbaum,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Ken,L,Myer,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Gabe,B,Mares,"17,7588","125,50","-2,7588","0,1195","15,00"
EM,0,NULL,Lori,A,Kane,"17,7588","125,50","7,2412","0,1992","25,00"
EM,0,NULL,Stuart,V,Munson,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Greg,F,Alderson,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Scott,R,Gode,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Kathie,E,Flood,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Belinda,M,Newman,"17,7588","125,50","-7,7588","0,0796","10,00"
EM,0,NULL,Hazem,E,Abolrous,"17,7588","125,50","11,0874","0,2298","28,8462"
EM,0,NULL,Peng,J,Wu,"17,7588","125,50","3,8758","0,1723","21,6346"
EM,0,NULL,Sootha,T,Charncherngkha,"17,7588","125,50","-7,1819","0,0842","10,5769"
EM,0,NULL,Andreas,T,Berglund,"17,7588","125,50","-7,1819","0,0842","10,5769"
EM,0,NULL,Mark,L,Harrington,"17,7588","125,50","-7,1819","0,0842","10,5769"
EM,0,NULL,Sean,P,Alexander,"17,7588","125,50","-7,1819","0,0842","10,5769"
EM,0,NULL,Zainal,T,Arifin,"17,7588","125,50","0,0297","0,1417","17,7885"
EM,0,NULL,Tengiz,N,Kharatishvili,"17,7588","125,50","-0,9319","0,134","16,8269"
EM,0,NULL,Sean,N,Chai,"17,7588","125,50","-7,5088","0,0816","10,25"
EM,0,NULL,Karen,R,Berge,"17,7588","125,50","-7,5088","0,0816","10,25"
EM,0,NULL,Chris,K,Norred,"17,7588","125,50","-0,9319","0,134","16,8269"
EM,0,NULL,A. Scott,NULL,Wright,"17,7588","125,50","5,7989","0,1877","23,5577"
EM,0,NULL,Sairaj,L,Uddin,"17,7588","125,50","-1,7588","0,1274","16,00"
EM,0,NULL,William,S,Vong,"17,7588","125,50","-9,1388","0,0686","8,62"
EM,0,NULL,William,S,Vong,"17,7588","125,50","-4,2588","0,1075","13,50"
EM,0,NULL,William,S,Vong,"17,7588","125,50","-1,7588","0,1274","16,00"
EM,0,NULL,Alan,J,Brewer,"17,7588","125,50","-1,7588","0,1274","16,00"
EM,0,NULL,Brian,P,LaMee,"17,7588","125,50","-1,7588","0,1274","16,00"
EM,0,NULL,Gary,E.,Altman,"17,7588","125,50","6,2797","0,1915","24,0385"
EM,0,NULL,Christian,E,Kleinerman,"17,7588","125,50","2,6739","0,1628","20,4327"
EM,0,NULL,Lori,K,Penor,"17,7588","125,50","-8,5088","0,0737","9,25"
EM,0,NULL,Stuart,J,Macrae,"17,7588","125,50","-8,5088","0,0737","9,25"
EM,0,NULL,Jo,L,Berry,"17,7588","125,50","-8,5088","0,0737","9,25"
EM,0,NULL,Pat,H,Coleman,"17,7588","125,50","-8,5088","0,0737","9,25"
EM,0,NULL,Magnus,E,Hedlund,"17,7588","125,50","-8,0088","0,0776","9,75"
EM,0,NULL,Laura,F,Norman,"17,7588","125,50","21,3012","0,3112","39,06"
EM,0,NULL,Laura,F,Norman,"17,7588","125,50","30,7989","0,3869","48,5577"
EM,0,NULL,Laura,F,Norman,"17,7588","125,50","42,3374","0,4788","60,0962"
EM,0,NULL,Paula,M,Barreto de Mattos,"17,7588","125,50","9,3806","0,2162","27,1394"
EM,0,NULL,Grant,N,Culbertson,"17,7588","125,50","-3,8165","0,111","13,9423"
EM,0,NULL,Hao,O,Chen,"17,7588","125,50","-3,8165","0,111","13,9423"
EM,0,NULL,Vidur,X,Luthra,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Mindy,C,Martin,"17,7588","125,50","-1,1723","0,1321","16,5865"
EM,0,NULL,Willis,T,Johnson,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,David,J,Liu,"17,7588","125,50","16,9768","0,2767","34,7356"
EM,0,NULL,Deborah,E,Poe,"17,7588","125,50","1,2412","0,1513","19,00"
EM,0,NULL,Candy,L,Spoon,"17,7588","125,50","1,2412","0,1513","19,00"
EM,0,NULL,Bryan,A,Walton,"17,7588","125,50","1,2412","0,1513","19,00"
EM,0,NULL,Barbara,C,Moreland,"17,7588","125,50","8,6835","0,2106","26,4423"
EM,0,NULL,Dragan,K,Tomic,"17,7588","125,50","1,2412","0,1513","19,00"
EM,0,NULL,Janet,L,Sheperdigian,"17,7588","125,50","1,2412","0,1513","19,00"
EM,0,NULL,Mike,K,Seamans,"17,7588","125,50","8,6835","0,2106","26,4423"
EM,0,NULL,Wendy,Beth,Kahn,"17,7588","125,50","25,5104","0,3447","43,2692"
EM,0,NULL,Sheela,H,Word,"17,7588","125,50","-7,8988","0,0785","9,86"
EM,0,NULL,Sheela,H,Word,"17,7588","125,50","4,7412","0,1792","22,50"
EM,0,NULL,Sheela,H,Word,"17,7588","125,50","12,2412","0,239","30,00"
EM,0,NULL,Mikael,Q,Sandberg,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Arvind,B,Rao,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Linda,P,Meisner,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Fukiko,J,Ogisu,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Gordon,L,Hee,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Frank,S,Pellow,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Eric,S,Kurjan,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Erin,M,Hagens,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Ben,T,Miller,"17,7588","125,50","0,5104","0,1455","18,2692"
EM,0,NULL,Annette,L,Hill,"17,7588","125,50","-5,0088","0,1015","12,75"
EM,0,NULL,Reinout,N,Hillmann,"17,7588","125,50","-5,0088","0,1015","12,75"
EM,0,NULL,David,M,Barber,"17,7588","125,50","-4,2973","0,1072","13,4615"
EM,0,NULL,Jean,E,Trenary,"17,7588","125,50","32,722","0,4022","50,4808"
EM,0,NULL,Stephanie,A,Conroy,"17,7588","125,50","21,9047","0,316","39,6635"
EM,0,NULL,Ashvini,R,Sharma,"17,7588","125,50","14,6931","0,2585","32,4519"
EM,0,NULL,Peter,I,Connelly,"17,7588","125,50","14,6931","0,2585","32,4519"
EM,0,NULL,Karen,A,Berg,"17,7588","125,50","9,645","0,2183","27,4038"
EM,0,NULL,Ramesh,V,Meyyappan,"17,7588","125,50","9,645","0,2183","27,4038"
EM,0,NULL,Dan,K,Bacon,"17,7588","125,50","9,645","0,2183","27,4038"
EM,0,NULL,François,P,Ajenstat,"17,7588","125,50","20,7027","0,3064","38,4615"
EM,0,NULL,Dan,B,Wilson,"17,7588","125,50","20,7027","0,3064","38,4615"
EM,0,NULL,Janaina,Barreiro Gambaro,Bueno,"17,7588","125,50","9,645","0,2183","27,4038"
